FeatureName,Year,Value,Energy Type,Energy Consuming Sector
South Lanarkshire,2019,312.124,Gas,Industrial
South Ayrshire,2019,0.487,Coal,Industrial
Midlothian,2019,3.446,Manufactured Fuels,Domestic
South Lanarkshire,2019,1913.878,Gas,Domestic
Midlothian,2019,0,Manufactured Fuels,Industrial
Perth and Kinross,2019,0.668,Coal,Public Sector
Midlothian,2019,13.818,Bioenergy & Wastes,Industrial
South Ayrshire,2019,107.084,Petroleum Products,Agriculture
Moray,2019,0,Coal,Agriculture
Perth and Kinross,2019,8.811,Manufactured Fuels,Domestic
Midlothian,2019,592.953,All,Transport
Perth and Kinross,2019,2232.819,All,Transport
Perth and Kinross,2019,0.39,Petroleum Products,Public Sector
West Lothian,2019,275,Electricity,Domestic
Glasgow City,2019,0,Bioenergy & Wastes,Commercial
Perth and Kinross,2019,0,Coal,Agriculture
South Ayrshire,2019,192.639,Electricity,Domestic
South Ayrshire,2019,0,Coal,Rail
Midlothian,2019,692.733,Gas,All
Moray,2019,6.528,Manufactured Fuels,All
West Lothian,2019,72.578,Bioenergy & Wastes,Road Transport
Glasgow City,2019,1736.101,Electricity,Industrial & Commercial
Shetland Islands,2019,1.838,Coal,Domestic
South Ayrshire,2019,2.566,Coal,Domestic
Glasgow City,2019,2972.242,Gas,Domestic
South Ayrshire,2019,4.828,Manufactured Fuels,Domestic
Perth and Kinross,2019,2060.884,Petroleum Products,Road Transport
Moray,2019,799.844,All,Domestic
South Ayrshire,2019,5.706,Manufactured Fuels,All
Moray,2019,131.243,Petroleum Products,Domestic
Shetland Islands,2019,4.909,Bioenergy & Wastes,Commercial
West Lothian,2019,778.297,Electricity,All
Glasgow City,2019,2657.998,Electricity,All
Midlothian,2019,3.446,Manufactured Fuels,All
West Lothian,2019,0.416,Coal,Industrial
South Ayrshire,2019,0.254,Petroleum Products,Public Sector
South Ayrshire,2019,0.119,Coal,Public Sector
West Lothian,2019,1414.972,All,Domestic
South Ayrshire,2019,56.029,Bioenergy & Wastes,All
Midlothian,2019,518.572,Gas,Domestic
West Lothian,2019,0,Bioenergy & Wastes,Commercial
Glasgow City,2019,3017.159,Petroleum Products,Road Transport
West Lothian,2019,4703.367,All,All
Midlothian,2019,557.124,Petroleum Products,Road Transport
Perth and Kinross,2019,2582.045,Petroleum Products,All
Moray,2019,296.027,Electricity,Industrial & Commercial
Midlothian,2019,655.943,Petroleum Products,All
East Ayrshire,2019,0,Coal,Rail
Angus,2019,1240.624,Petroleum Products,All
Na h-Eileanan Siar,2019,67.721,Electricity,Industrial & Commercial
Argyll and Bute,2019,6.869,Manufactured Fuels,Domestic
East Ayrshire,2019,37.102,Petroleum Products,Domestic
North Ayrshire,2019,13.146,Bioenergy & Wastes,Domestic
Na h-Eileanan Siar,2019,33.734,Electricity,Commercial
Falkirk,2019,2.46,Coal,All
East Ayrshire,2019,0,Coal,Agriculture
Scottish Borders,2019,23.644,Bioenergy & Wastes,Domestic
Argyll and Bute,2019,0.514,Coal,Commercial
East Ayrshire,2019,2941.07,All,All
Argyll and Bute,2019,75.892,Gas,Industrial
East Ayrshire,2019,1028.613,Gas,All
West Dunbartonshire,2019,203.829,Electricity,Industrial & Commercial
Argyll and Bute,2019,1118.377,Petroleum Products,All
Angus,2019,132.772,Gas,Commercial
Orkney Islands,2019,1.123,Coal,Public Sector
Na h-Eileanan Siar,2019,0.689,Petroleum Products,Commercial
Falkirk,2019,65.686,Bioenergy & Wastes,Road Transport
Dumfries and Galloway,2019,0,Coal,Rail
Na h-Eileanan Siar,2019,41.332,Bioenergy & Wastes,All
Aberdeenshire,2019,549.535,Petroleum Products,Domestic
Aberdeenshire,2019,1072.08,Gas,Domestic
Dundee City,2019,81.908,Petroleum Products,Industrial
Na h-Eileanan Siar,2019,0,Petroleum Products,Rail
Aberdeenshire,2019,535.266,Electricity,Domestic
Aberdeenshire,2019,0,Coal,Agriculture
Dumfries and Galloway,2019,2187.211,All,Transport
Dundee City,2019,612.727,Electricity,All
North Ayrshire,2019,0,Coal,Rail
Falkirk,2019,12215.204,Petroleum Products,Industrial
North Lanarkshire,2019,2022.225,Gas,Domestic
Falkirk,2019,0.04,Coal,Commercial
Dundee City,2019,0.862,Manufactured Fuels,Domestic
Falkirk,2019,1414.029,All,Transport
North Ayrshire,2019,781.067,Petroleum Products,All
Scottish Borders,2019,305.994,Electricity,Industrial & Commercial
City of Edinburgh,2019,0.082,Manufactured Fuels,Industrial
Na h-Eileanan Siar,2019,0,Manufactured Fuels,Industrial
Orkney Islands,2019,0,Gas,Commercial
Argyll and Bute,2019,35.247,Bioenergy & Wastes,Road Transport
Argyll and Bute,2019,31.089,Bioenergy & Wastes,Industrial
West Dunbartonshire,2019,8.045,Petroleum Products,Agriculture
Angus,2019,0.02,Coal,Rail
City of Edinburgh,2019,18.715,Bioenergy & Wastes,Commercial
Scottish Borders,2019,44.272,Coal,All
East Ayrshire,2019,0.15,Coal,Commercial
Scottish Borders,2019,82.913,Petroleum Products,Industrial
City of Edinburgh,2019,952.27,Gas,Industrial
Angus,2019,159.505,Gas,Industrial
Argyll and Bute,2019,125.026,Petroleum Products,Domestic
East Ayrshire,2019,108.55,Bioenergy & Wastes,Commercial
Argyll and Bute,2019,0,Coal,Rail
Orkney Islands,2019,0,Manufactured Fuels,Industrial
Argyll and Bute,2019,7.009,Manufactured Fuels,All
Orkney Islands,2019,2.529,Manufactured Fuels,Domestic
East Ayrshire,2019,6.539,Manufactured Fuels,All
North Lanarkshire,2019,1961.775,All,Industrial & Commercial
Na h-Eileanan Siar,2019,596.534,All,All
Scottish Borders,2019,238.503,Electricity,Domestic
East Ayrshire,2019,1006.253,All,Domestic
Argyll and Bute,2019,109.916,Bioenergy & Wastes,All
West Dunbartonshire,2019,101.533,Electricity,Commercial
Na h-Eileanan Siar,2019,3.17,Manufactured Fuels,Domestic
Angus,2019,145.535,Electricity,Industrial
East Renfrewshire,2019,833.178,All,Domestic
City of Edinburgh,2019,0.153,Coal,Commercial
City of Edinburgh,2019,3723.221,All,Domestic
East Ayrshire,2019,0,Manufactured Fuels,Industrial
East Renfrewshire,2019,0.156,Petroleum Products,Public Sector
Angus,2019,227.347,Electricity,Domestic
Argyll and Bute,2019,502.244,Electricity,All
Orkney Islands,2019,30.101,Electricity,Industrial
Angus,2019,36.847,Petroleum Products,Rail
Na h-Eileanan Siar,2019,181.335,All,Industrial & Commercial
Dundee City,2019,0.156,Coal,Domestic
Dundee City,2019,0.862,Manufactured Fuels,All
Scottish Borders,2019,7.502,Manufactured Fuels,Domestic
Dumfries and Galloway,2019,1235.266,All,Domestic
Argyll and Bute,2019,4.942,Coal,Domestic
Argyll and Bute,2019,5.066,Petroleum Products,Rail
Argyll and Bute,2019,120.733,Electricity,Industrial
Na h-Eileanan Siar,2019,366.632,Petroleum Products,All
East Ayrshire,2019,6.539,Manufactured Fuels,Domestic
Dundee City,2019,778.942,Gas,Domestic
Argyll and Bute,2019,711.616,Petroleum Products,Road Transport
Na h-Eileanan Siar,2019,36.819,Petroleum Products,Agriculture
North Ayrshire,2019,29.09,Bioenergy & Wastes,Road Transport
North Lanarkshire,2019,469.684,Gas,Industrial
Na h-Eileanan Siar,2019,162.242,Petroleum Products,Road Transport
Dumfries and Galloway,2019,0.436,Coal,Commercial
Scottish Borders,2019,289.495,Petroleum Products,Agriculture
Na h-Eileanan Siar,2019,2.418,Coal,Domestic
Dumfries and Galloway,2019,295.844,Gas,Industrial
Argyll and Bute,2019,726.201,All,Industrial & Commercial
Na h-Eileanan Siar,2019,9.818,Bioenergy & Wastes,Commercial
Dundee City,2019,1353.987,Gas,All
Dundee City,2019,174.724,Electricity,Industrial
North Lanarkshire,2019,390.965,Gas,Commercial
Argyll and Bute,2019,745.325,All,Domestic
Na h-Eileanan Siar,2019,8.037,Bioenergy & Wastes,Road Transport
North Ayrshire,2019,0.205,Manufactured Fuels,Industrial
North Lanarkshire,2019,2882.874,Gas,All
Na h-Eileanan Siar,2019,0.586,Coal,Public Sector
East Ayrshire,2019,0.305,Petroleum Products,Public Sector
Dundee City,2019,2804.997,All,All
Na h-Eileanan Siar,2019,125.556,Petroleum Products,Domestic
North Ayrshire,2019,3.611,Manufactured Fuels,Domestic
Argyll and Bute,2019,14.695,Coal,Industrial
Dundee City,2019,10.988,Petroleum Products,Rail
Na h-Eileanan Siar,2019,0,Coal,Rail
Dundee City,2019,0,Manufactured Fuels,Industrial
Scottish Borders,2019,65.044,Bioenergy & Wastes,Commercial
Scottish Borders,2019,117.519,Gas,Commercial
Scottish Borders,2019,988.546,All,Domestic
Aberdeenshire,2019,1420.033,Gas,All
Aberdeenshire,2019,30.111,Coal,All
Dundee City,2019,264.581,Electricity,Domestic
Aberdeenshire,2019,57.98,Bioenergy & Wastes,Domestic
Dundee City,2019,1.368,Petroleum Products,Commercial
Dundee City,2019,1053.726,All,Domestic
Aberdeenshire,2019,0,Coal,Rail
Scottish Borders,2019,152.424,Electricity,Commercial
Scottish Borders,2019,0.245,Coal,Commercial
Na h-Eileanan Siar,2019,5.961,Coal,Industrial
Na h-Eileanan Siar,2019,2.442,Gas,Industrial
Dundee City,2019,5.62,Petroleum Products,Domestic
Dumfries and Galloway,2019,222.979,Bioenergy & Wastes,All
Dundee City,2019,0,Bioenergy & Wastes,Industrial
Dumfries and Galloway,2019,513.761,Electricity,Industrial & Commercial
Dumfries and Galloway,2019,307.385,Electricity,Domestic
Dumfries and Galloway,2019,105.865,Bioenergy & Wastes,Road Transport
Falkirk,2019,668.338,Electricity,All
Dumfries and Galloway,2019,5228.168,All,All
Aberdeenshire,2019,3651.28,Petroleum Products,All
Falkirk,2019,3.221,Manufactured Fuels,Domestic
Na h-Eileanan Siar,2019,40.925,Petroleum Products,Industrial
Aberdeenshire,2019,0.927,Petroleum Products,Public Sector
Falkirk,2019,202.349,Electricity,Commercial
Dumfries and Galloway,2019,0.555,Petroleum Products,Public Sector
North Ayrshire,2019,776.741,Gas,Domestic
West Dunbartonshire,2019,134.284,Electricity,Domestic
Dumfries and Galloway,2019,2.676,Petroleum Products,Commercial
Dumfries and Galloway,2019,257.842,Electricity,Industrial
Scottish Borders,2019,91.541,Bioenergy & Wastes,Industrial
Dundee City,2019,743.084,All,Transport
Falkirk,2019,13556.438,All,Industrial & Commercial
Dumfries and Galloway,2019,33.442,Bioenergy & Wastes,Commercial
Perth and Kinross,2019,953.439,All,Industrial & Commercial
Midlothian,2019,8.415,Coal,All
Perth and Kinross,2019,0,Coal,Rail
Midlothian,2019,35.339,Petroleum Products,Industrial
Moray,2019,1847.185,Gas,All
Perth and Kinross,2019,709.864,Electricity,All
South Lanarkshire,2019,187.329,Bioenergy & Wastes,All
West Lothian,2019,89.613,Bioenergy & Wastes,All
South Ayrshire,2019,268.228,Electricity,Industrial & Commercial
Perth and Kinross,2019,4.424,Coal,Industrial
South Lanarkshire,2019,4.229,Manufactured Fuels,Industrial
Moray,2019,12.732,Coal,All
Midlothian,2019,12.214,Bioenergy & Wastes,Domestic
Glasgow City,2019,0,Coal,Commercial
Perth and Kinross,2019,4479.847,All,All
Glasgow City,2019,3920.752,All,Domestic
West Lothian,2019,27.29,Petroleum Products,Domestic
Shetland Islands,2019,0.224,Petroleum Products,Public Sector
Moray,2019,1016.655,Petroleum Products,All
South Lanarkshire,2019,0.17,Coal,Commercial
Inverclyde,2019,19.41,Bioenergy & Wastes,Road Transport
Shetland Islands,2019,27.321,Bioenergy & Wastes,All
South Lanarkshire,2019,2485.814,Gas,All
Perth and Kinross,2019,28.301,Bioenergy & Wastes,Domestic
Midlothian,2019,2.594,Petroleum Products,Commercial
Glasgow City,2019,264.689,Petroleum Products,Industrial
South Lanarkshire,2019,1120.708,Electricity,All
Inverclyde,2019,0.438,Coal,Domestic
Glasgow City,2019,5194.083,Gas,All
South Lanarkshire,2019,554.821,Electricity,Domestic
Glasgow City,2019,1009.309,Gas,Commercial
Shetland Islands,2019,6.909,Bioenergy & Wastes,Industrial
South Lanarkshire,2019,2.509,Petroleum Products,Commercial
West Lothian,2019,588.837,Gas,Industrial
Perth and Kinross,2019,378.532,Electricity,Industrial & Commercial
Midlothian,2019,1.714,Coal,Domestic
South Lanarkshire,2019,3004.174,Petroleum Products,All
South Lanarkshire,2019,126.594,Bioenergy & Wastes,Road Transport
South Ayrshire,2019,0,Bioenergy & Wastes,Commercial
Moray,2019,4.294,Coal,Domestic
South Ayrshire,2019,0,Coal,Agriculture
Moray,2019,2010.315,All,Industrial & Commercial
South Lanarkshire,2019,29.053,Petroleum Products,Rail
Glasgow City,2019,9.261,Bioenergy & Wastes,Domestic
North Ayrshire,2019,5136.169,All,All
South Lanarkshire,2019,0,Coal,Agriculture
Shetland Islands,2019,161.463,Petroleum Products,Road Transport
Glasgow City,2019,3323.886,Petroleum Products,All
South Lanarkshire,2019,13.5,Bioenergy & Wastes,Commercial
Midlothian,2019,702.615,All,Domestic
Moray,2019,474.866,Electricity,All
Midlothian,2019,101.142,Electricity,Industrial
Perth and Kinross,2019,5.945,Coal,Domestic
South Lanarkshire,2019,228.101,Petroleum Products,Industrial
West Lothian,2019,1471.64,Petroleum Products,Road Transport
Midlothian,2019,5.806,Coal,Industrial
Shetland Islands,2019,2.542,Manufactured Fuels,All
Moray,2019,148.567,Electricity,Industrial
West Lothian,2019,1.735,Coal,Domestic
Perth and Kinross,2019,165.068,Gas,Industrial
South Ayrshire,2019,266.474,Gas,Commercial
Glasgow City,2019,13.836,Petroleum Products,Domestic
Scottish Borders,2019,153.569,Electricity,Industrial
Dundee City,2019,313.821,Gas,Industrial
North Ayrshire,2019,3436.752,All,Industrial & Commercial
Argyll and Bute,2019,464.385,Gas,All
Argyll and Bute,2019,112.257,Petroleum Products,Industrial
Scottish Borders,2019,0,Coal,Rail
Argyll and Bute,2019,240.566,Electricity,Industrial & Commercial
Na h-Eileanan Siar,2019,0.121,Coal,Commercial
West Dunbartonshire,2019,0.979,Petroleum Products,Rail
Na h-Eileanan Siar,2019,18.45,Gas,Domestic
Na h-Eileanan Siar,2019,9.086,Coal,All
Dundee City,2019,3.565,Bioenergy & Wastes,Domestic
Scottish Borders,2019,1134.969,All,Industrial & Commercial
Dundee City,2019,33.438,Bioenergy & Wastes,Road Transport
West Dunbartonshire,2019,0,Coal,Rail
Argyll and Bute,2019,40.442,Petroleum Products,Public Sector
East Ayrshire,2019,152.771,Bioenergy & Wastes,Industrial
Dundee City,2019,261.224,Gas,Commercial
North Ayrshire,2019,0,Coal,Agriculture
Argyll and Bute,2019,22.09,Bioenergy & Wastes,Commercial
Argyll and Bute,2019,751.93,All,Transport
Argyll and Bute,2019,0.139,Manufactured Fuels,Industrial
Na h-Eileanan Siar,2019,33.987,Electricity,Industrial
Dundee City,2019,0.157,Coal,All
Angus,2019,118.597,Petroleum Products,Domestic
Scottish Borders,2019,0,Coal,Agriculture
North Ayrshire,2019,786.239,Gas,Industrial
Angus,2019,86.368,Petroleum Products,Agriculture
Na h-Eileanan Siar,2019,22.925,Gas,All
Argyll and Bute,2019,63.173,Gas,Commercial
East Ayrshire,2019,907.347,Petroleum Products,Road Transport
Argyll and Bute,2019,2.509,Petroleum Products,Commercial
East Ayrshire,2019,4.333,Petroleum Products,Rail
Argyll and Bute,2019,121.46,Petroleum Products,Agriculture
West Dunbartonshire,2019,502.425,Petroleum Products,Road Transport
Dundee City,2019,37.003,Bioenergy & Wastes,All
North Lanarkshire,2019,2616.99,All,Domestic
Moray,2019,0,Manufactured Fuels,Industrial
South Ayrshire,2019,1.555,Petroleum Products,Commercial
Dundee City,2019,1008.187,All,Industrial & Commercial
Midlothian,2019,0,Coal,Agriculture
Glasgow City,2019,4.321,Petroleum Products,Public Sector
Orkney Islands,2019,59.978,Electricity,Industrial & Commercial
East Ayrshire,2019,0.54,Coal,Public Sector
Dundee City,2019,173.421,Electricity,Commercial
West Dunbartonshire,2019,0.169,Coal,All
East Ayrshire,2019,956.642,All,Transport
South Lanarkshire,2019,0.487,Coal,Public Sector
South Lanarkshire,2019,2500.728,Petroleum Products,Road Transport
Midlothian,2019,22.927,Petroleum Products,Agriculture
Glasgow City,2019,864.803,Electricity,Commercial
West Lothian,2019,1657.624,Petroleum Products,All
South Lanarkshire,2019,0.55,Petroleum Products,Public Sector
Midlothian,2019,1762.735,All,All
Argyll and Bute,2019,325.321,Gas,Domestic
Argyll and Bute,2019,0,Coal,Agriculture
Na h-Eileanan Siar,2019,0.401,Petroleum Products,Public Sector
Argyll and Bute,2019,1.375,Coal,Public Sector
Dundee City,2019,698.659,Petroleum Products,Road Transport
East Ayrshire,2019,44.963,Bioenergy & Wastes,Road Transport
Na h-Eileanan Siar,2019,2.033,Gas,Commercial
Na h-Eileanan Siar,2019,3.17,Manufactured Fuels,All
Na h-Eileanan Siar,2019,0,Coal,Agriculture
Na h-Eileanan Siar,2019,9.66,Bioenergy & Wastes,Domestic
Dundee City,2019,0,Coal,Commercial
East Ayrshire,2019,150.066,Gas,Industrial
Na h-Eileanan Siar,2019,244.92,All,Domestic
Orkney Islands,2019,30.194,Petroleum Products,Industrial
Na h-Eileanan Siar,2019,170.279,All,Transport
East Ayrshire,2019,21.775,Bioenergy & Wastes,Domestic
North Lanarkshire,2019,7662.872,All,All
Dundee City,2019,0,Coal,Agriculture
South Lanarkshire,2020,28.65,Bioenergy & Wastes,Domestic
South Lanarkshire,2020,2469.594,Petroleum Products,All
South Lanarkshire,2020,2109.266,All,Transport
Perth and Kinross,2020,329.811,Electricity,Industrial & Commercial
South Lanarkshire,2020,3.59,Coal,Domestic
Inverclyde,2020,0.017,Coal,Public Sector
Perth and Kinross,2020,175.672,Electricity,Industrial
Perth and Kinross,2020,906.781,All,Industrial & Commercial
Perth and Kinross,2020,0,Coal,Rail
South Ayrshire,2020,1.445,Manufactured Fuels,Industrial
Midlothian,2020,86.539,Gas,Industrial
Inverclyde,2020,630.555,All,Domestic
Perth and Kinross,2020,7.204,Bioenergy & Wastes,Industrial
Inverclyde,2020,282.443,Electricity,All
South Lanarkshire,2020,265.749,Gas,Commercial
South Lanarkshire,2020,1507.555,All,Industrial & Commercial
Perth and Kinross,2020,136.139,Bioenergy & Wastes,All
South Lanarkshire,2020,23.024,Petroleum Products,Rail
South Lanarkshire,2020,582.154,Electricity,Domestic
South Lanarkshire,2020,193.589,Bioenergy & Wastes,All
Inverclyde,2020,0.017,Coal,Industrial
Fife,2020,383.09,Electricity,Commercial
Perth and Kinross,2020,167.21,Gas,Industrial
South Lanarkshire,2020,266.018,Electricity,Industrial
South Lanarkshire,2020,233.412,Electricity,Commercial
Midlothian,2020,691.329,Gas,All
Perth and Kinross,2020,53.439,Petroleum Products,Rail
South Ayrshire,2020,0.15,Coal,Commercial
Midlothian,2020,8.262,Coal,All
South Lanarkshire,2020,6.178,Manufactured Fuels,Industrial
Midlothian,2020,728.375,All,Domestic
Midlothian,2020,24.974,Bioenergy & Wastes,Road Transport
South Ayrshire,2020,698.825,Gas,Domestic
South Lanarkshire,2020,7.554,Manufactured Fuels,Domestic
Perth and Kinross,2020,343.374,Electricity,Domestic
Midlothian,2020,0,Coal,Agriculture
Perth and Kinross,2020,12.883,Coal,All
South Lanarkshire,2020,13.732,Manufactured Fuels,All
Perth and Kinross,2020,1717.631,All,Transport
Perth and Kinross,2020,0,Coal,Agriculture
South Lanarkshire,2020,0.17,Coal,Commercial
Perth and Kinross,2020,5.658,Coal,Domestic
Midlothian,2020,333.193,Electricity,All
Perth and Kinross,2020,0,Manufactured Fuels,Industrial
Midlothian,2020,529.267,Petroleum Products,All
Midlothian,2020,12.393,Bioenergy & Wastes,Domestic
Midlothian,2020,69.413,Bioenergy & Wastes,All
Perth and Kinross,2020,95.406,Bioenergy & Wastes,Road Transport
South Ayrshire,2020,66.007,Petroleum Products,Domestic
Perth and Kinross,2020,207.491,Petroleum Products,Domestic
Perth and Kinross,2020,28.716,Bioenergy & Wastes,Domestic
South Ayrshire,2020,430.488,Electricity,All
South Ayrshire,2020,0.285,Coal,Industrial
Midlothian,2020,12.835,Bioenergy & Wastes,Commercial
Midlothian,2020,30.747,Petroleum Products,Domestic
South Ayrshire,2020,0,Bioenergy & Wastes,Industrial
South Ayrshire,2020,0.123,Coal,Public Sector
West Lothian,2020,0.051,Coal,Commercial
Glasgow City,2020,1.06,Petroleum Products,Public Sector
Glasgow City,2020,3.431,Petroleum Products,Commercial
Glasgow City,2020,148.261,Bioenergy & Wastes,All
South Ayrshire,2020,0,Bioenergy & Wastes,Commercial
West Lothian,2020,0,Petroleum Products,Public Sector
West Lothian,2020,445.442,Electricity,Industrial & Commercial
Moray,2020,0,Coal,Agriculture
South Ayrshire,2020,229.685,Electricity,Industrial & Commercial
Moray,2020,39.758,Bioenergy & Wastes,Commercial
West Lothian,2020,1453.13,All,Domestic
Moray,2020,6.274,Manufactured Fuels,All
South Ayrshire,2020,17.051,Bioenergy & Wastes,Domestic
Moray,2020,913.691,Petroleum Products,All
West Lothian,2020,237.262,Electricity,Industrial
West Lothian,2020,17.285,Bioenergy & Wastes,Domestic
Glasgow City,2020,5257.396,Gas,All
Moray,2020,3.628,Petroleum Products,Public Sector
South Ayrshire,2020,271.079,Gas,Commercial
West Lothian,2020,86.548,Bioenergy & Wastes,All
South Ayrshire,2020,1301.429,Gas,All
Shetland Islands,2020,0,Gas,Domestic
Shetland Islands,2020,37.151,Electricity,Commercial
Shetland Islands,2020,0.334,Coal,Commercial
Glasgow City,2020,955.488,Electricity,Domestic
Moray,2020,9.394,Coal,Industrial
Shetland Islands,2020,96.868,Electricity,Domestic
South Ayrshire,2020,36.573,Bioenergy & Wastes,Road Transport
Glasgow City,2020,10503.3,All,All
Moray,2020,575.683,Gas,Commercial
Shetland Islands,2020,2.975,Coal,Industrial
Shetland Islands,2020,136.348,All,Transport
Shetland Islands,2020,0.823,Coal,Public Sector
Moray,2020,14.844,Coal,All
Shetland Islands,2020,2.352,Manufactured Fuels,Domestic
West Lothian,2020,208.18,Electricity,Commercial
Glasgow City,2020,4.02,Petroleum Products,Agriculture
South Lanarkshire,2020,26.415,Bioenergy & Wastes,Industrial
South Lanarkshire,2020,7.842,Coal,Industrial
Perth and Kinross,2020,154.139,Electricity,Commercial
Midlothian,2020,38.196,Petroleum Products,Industrial
Midlothian,2020,461.261,All,Transport
South Lanarkshire,2020,1081.584,Electricity,All
South Lanarkshire,2020,230.785,Petroleum Products,Industrial
South Lanarkshire,2020,17.648,Bioenergy & Wastes,Commercial
South Lanarkshire,2020,499.429,Electricity,Industrial & Commercial
Midlothian,2020,5.715,Coal,Industrial
Midlothian,2020,1634.766,All,All
Perth and Kinross,2020,1036.853,Gas,All
Midlothian,2020,0,Petroleum Products,Public Sector
Midlothian,2020,1.344,Petroleum Products,Commercial
South Lanarkshire,2020,1957.015,Gas,Domestic
Perth and Kinross,2020,673.185,Electricity,All
South Ayrshire,2020,2.442,Coal,Domestic
Moray,2020,1738.007,Gas,All
West Lothian,2020,377.86,Gas,Industrial
Glasgow City,2020,2655.339,Petroleum Products,All
West Lothian,2020,0.076,Coal,Public Sector
South Ayrshire,2020,53.623,Bioenergy & Wastes,All
South Ayrshire,2020,0,Coal,Agriculture
Moray,2020,0.786,Coal,Rail
West Lothian,2020,1.652,Coal,Domestic
Perth and Kinross,2020,136.723,Gas,Commercial
South Lanarkshire,2020,12.105,Coal,All
West Lothian,2020,112.855,Petroleum Products,Industrial
West Lothian,2020,1244.439,All,Transport
Moray,2020,1940.371,All,Industrial & Commercial
West Lothian,2020,8.16,Manufactured Fuels,All
West Lothian,2020,1280.253,All,Industrial & Commercial
East Ayrshire,2020,98.332,Petroleum Products,Agriculture
Argyll and Bute,2020,0.513,Coal,Commercial
Na h-Eileanan Siar,2020,127.418,Petroleum Products,Road Transport
Angus,2020,84.799,Petroleum Products,Agriculture
East Ayrshire,2020,3.355,Petroleum Products,Rail
Dundee City,2020,155.153,Electricity,Industrial
Dundee City,2020,1700.081,Gas,All
Na h-Eileanan Siar,2020,0,Manufactured Fuels,Industrial
Na h-Eileanan Siar,2020,3.052,Manufactured Fuels,All
Argyll and Bute,2020,61.299,Gas,Commercial
East Renfrewshire,2020,1.934,Petroleum Products,Rail
City of Edinburgh,2020,2.347,Petroleum Products,Commercial
East Renfrewshire,2020,206.508,All,Industrial & Commercial
East Renfrewshire,2020,35.96,Bioenergy & Wastes,All
Angus,2020,41.882,Bioenergy & Wastes,Road Transport
East Ayrshire,2020,110.26,Bioenergy & Wastes,Commercial
Argyll and Bute,2020,74.968,Gas,Industrial
East Renfrewshire,2020,2.229,Manufactured Fuels,Domestic
Na h-Eileanan Siar,2020,0,Petroleum Products,Rail
Na h-Eileanan Siar,2020,3.052,Manufactured Fuels,Domestic
Argyll and Bute,2020,0.224,Manufactured Fuels,Industrial
Argyll and Bute,2020,971.611,Petroleum Products,All
East Ayrshire,2020,1079.673,Gas,All
Argyll and Bute,2020,31.87,Bioenergy & Wastes,Road Transport
East Ayrshire,2020,79.107,Petroleum Products,Industrial
Angus,2020,5.598,Manufactured Fuels,All
East Ayrshire,2020,0.095,Petroleum Products,Public Sector
Argyll and Bute,2020,6.609,Manufactured Fuels,Domestic
Angus,2020,126.161,Petroleum Products,Domestic
Na h-Eileanan Siar,2020,60.072,Electricity,Industrial & Commercial
East Ayrshire,2020,0,Coal,Agriculture
Na h-Eileanan Siar,2020,134.998,All,Transport
Argyll and Bute,2020,1.421,Coal,Public Sector
Na h-Eileanan Siar,2020,49.428,Bioenergy & Wastes,All
Argyll and Bute,2020,465.02,Gas,All
East Ayrshire,2020,22.094,Bioenergy & Wastes,Domestic
Argyll and Bute,2020,732.715,All,Industrial & Commercial
East Lothian,2020,35.775,Bioenergy & Wastes,Road Transport
East Lothian,2020,110.991,Gas,Commercial
Renfrewshire,2020,0,Coal,Industrial
Renfrewshire,2020,1085.068,Gas,Domestic
Renfrewshire,2020,0.687,Coal,Domestic
Na h-Eileanan Siar,2020,9.098,Coal,All
Angus,2020,10.028,Bioenergy & Wastes,Commercial
City of Edinburgh,2020,2904.661,Gas,Domestic
East Renfrewshire,2020,9.616,Petroleum Products,Domestic
City of Edinburgh,2020,20.206,Petroleum Products,Domestic
Renfrewshire,2020,0,Bioenergy & Wastes,Industrial
East Lothian,2020,4.776,Manufactured Fuels,Domestic
Renfrewshire,2020,0,Coal,Rail
Renfrewshire,2020,1.776,Manufactured Fuels,Domestic
East Lothian,2020,0,Coal,Rail
East Lothian,2020,669.283,All,Transport
East Lothian,2020,1153.645,All,Industrial & Commercial
Renfrewshire,2020,0.024,Coal,Public Sector
East Lothian,2020,0,Petroleum Products,Public Sector
East Renfrewshire,2020,0,Bioenergy & Wastes,Commercial
East Ayrshire,2020,95.086,Electricity,Commercial
East Renfrewshire,2020,51.039,Gas,Commercial
Na h-Eileanan Siar,2020,36.431,Petroleum Products,Agriculture
City of Edinburgh,2020,0.282,Coal,Public Sector
East Ayrshire,2020,338.678,Bioenergy & Wastes,All
City of Edinburgh,2020,797.474,Gas,Commercial
City of Edinburgh,2020,546.737,Electricity,Commercial
Angus,2020,0.17,Coal,Commercial
Angus,2020,2599.12,All,All
East Ayrshire,2020,0.15,Coal,Commercial
Argyll and Bute,2020,135.654,Petroleum Products,Domestic
East Renfrewshire,2020,675.161,Gas,Domestic
Angus,2020,0.591,Petroleum Products,Commercial
Na h-Eileanan Siar,2020,576.678,All,All
Na h-Eileanan Siar,2020,342.503,Petroleum Products,All
Angus,2020,27.95,Petroleum Products,Rail
Argyll and Bute,2020,1.125,Petroleum Products,Commercial
Angus,2020,0,Manufactured Fuels,Industrial
East Renfrewshire,2020,0.179,Petroleum Products,Commercial
City of Edinburgh,2020,3806.904,All,Domestic
City of Edinburgh,2020,1.23,Petroleum Products,Public Sector
